ModuleColor	Gene
blue	Bradi1g63630.1
blue	Bradi1g63780.1
blue	Bradi1g63780.2
blue	Bradi1g64050.1
blue	Bradi1g64290.1
blue	Bradi1g64460.4
blue	Bradi1g64530.2
blue	Bradi1g64660.1
blue	Bradi1g65157.1
blue	Bradi1g65520.1
blue	Bradi1g65810.1
blue	Bradi1g66480.1
blue	Bradi1g66597.1
blue	Bradi1g66780.1
blue	Bradi1g66860.1
blue	Bradi1g67060.1
blue	Bradi1g67247.1
blue	Bradi1g67247.2
blue	Bradi1g67247.3
blue	Bradi1g68010.1
blue	Bradi1g68010.2
blue	Bradi1g68040.1
blue	Bradi1g68210.1
blue	Bradi1g68502.1
blue	Bradi1g68580.1
blue	Bradi1g69660.1
blue	Bradi1g69710.1
blue	Bradi1g69720.5
blue	Bradi1g70440.1
blue	Bradi1g70920.1
blue	Bradi1g71430.1
blue	Bradi1g71810.2
blue	Bradi1g71920.1
blue	Bradi1g71930.1
blue	Bradi1g71960.1
blue	Bradi1g72086.1
blue	Bradi1g72250.3
blue	Bradi1g72250.4
blue	Bradi1g72440.1
blue	Bradi1g72449.1
blue	Bradi1g72927.2
blue	Bradi1g73665.1
blue	Bradi1g75970.1
blue	Bradi1g76190.1
blue	Bradi1g76810.1
blue	Bradi1g77450.1
blue	Bradi1g77510.1
blue	Bradi1g77760.1
blue	Bradi1g78050.1
blue	Bradi1g78220.1
blue	Bradi1g78420.2
blue	Bradi2g00310.1
blue	Bradi2g00740.1
blue	Bradi2g02230.1
blue	Bradi2g02230.3
blue	Bradi2g02340.1
blue	Bradi2g03120.1
blue	Bradi2g04076.1
blue	Bradi2g04297.1
blue	Bradi2g04430.3
blue	Bradi2g04497.1
blue	Bradi2g04510.1
blue	Bradi2g04560.1
blue	Bradi2g04590.1
blue	Bradi2g05050.1
blue	Bradi2g05163.1
blue	Bradi2g05832.1
blue	Bradi2g05832.2
blue	Bradi2g05832.3
blue	Bradi2g05880.1
blue	Bradi2g06400.1
blue	Bradi2g06832.1
blue	Bradi2g06832.2
blue	Bradi2g06832.3
blue	Bradi2g06832.4
blue	Bradi2g06832.5
blue	Bradi2g06870.2
blue	Bradi2g07290.1
blue	Bradi2g08210.3
blue	Bradi2g08370.1
blue	Bradi2g08620.1
blue	Bradi2g08702.1
blue	Bradi2g09030.1
blue	Bradi2g09530.1
blue	Bradi2g09840.1
blue	Bradi2g09900.1
blue	Bradi2g09900.3
blue	Bradi2g10260.1
blue	Bradi2g10700.1
blue	Bradi2g12340.1
blue	Bradi2g12340.2
blue	Bradi2g12340.3
blue	Bradi2g12427.1
blue	Bradi2g13020.1
blue	Bradi2g13020.2
blue	Bradi2g13110.1
blue	Bradi2g13600.1
blue	Bradi2g15410.1
blue	Bradi2g16780.2
blue	Bradi2g16910.1
blue	Bradi2g17630.1
blue	Bradi2g18300.3
blue	Bradi2g19867.2
blue	Bradi2g20141.1
blue	Bradi2g20270.2
blue	Bradi2g21060.1
blue	Bradi2g21067.1
blue	Bradi2g21185.1
blue	Bradi2g21186.3
blue	Bradi2g21190.2
blue	Bradi2g21990.1
blue	Bradi2g22640.1
blue	Bradi2g23430.1
blue	Bradi2g23740.1
blue	Bradi2g23750.1
blue	Bradi2g24050.1
blue	Bradi2g24420.3
blue	Bradi2g24690.5
blue	Bradi2g24810.1
blue	Bradi2g24930.1
blue	Bradi2g24987.1
blue	Bradi2g24987.2
blue	Bradi2g25320.1
blue	Bradi2g25320.2
blue	Bradi2g25350.1
blue	Bradi2g25450.1
blue	Bradi2g25450.2
blue	Bradi2g25736.1
blue	Bradi2g25850.1
blue	Bradi2g26817.1
blue	Bradi2g27977.1
blue	Bradi2g28400.1
blue	Bradi2g31130.1
blue	Bradi2g31990.1
blue	Bradi2g31990.2
blue	Bradi2g31990.3
blue	Bradi2g33300.2
blue	Bradi2g33450.1
blue	Bradi2g33500.1
blue	Bradi2g33560.2
blue	Bradi2g35180.1
blue	Bradi2g36460.1
blue	Bradi2g36770.1
blue	Bradi2g36980.4
blue	Bradi2g36980.5
blue	Bradi2g37120.1
blue	Bradi2g37150.1
blue	Bradi2g37690.3
blue	Bradi2g37690.4
blue	Bradi2g38254.1
blue	Bradi2g38340.2
blue	Bradi2g39710.1
blue	Bradi2g40480.1
blue	Bradi2g40480.3
blue	Bradi2g40480.4
blue	Bradi2g40870.1
blue	Bradi2g41490.2
blue	Bradi2g41490.3
blue	Bradi2g41660.1
blue	Bradi2g41660.2
blue	Bradi2g41660.3
blue	Bradi2g42017.2
blue	Bradi2g42023.1
blue	Bradi2g42260.1
blue	Bradi2g43150.1
blue	Bradi2g44180.1
blue	Bradi2g44190.1
blue	Bradi2g44190.2
blue	Bradi2g44300.1
blue	Bradi2g46093.1
blue	Bradi2g46240.1
blue	Bradi2g46240.2
blue	Bradi2g46240.5
blue	Bradi2g46810.1
blue	Bradi2g47110.1
blue	Bradi2g47480.2
blue	Bradi2g47510.1
blue	Bradi2g47747.1
blue	Bradi2g47747.2
blue	Bradi2g47747.3
blue	Bradi2g47820.1
blue	Bradi2g47820.2
blue	Bradi2g48082.1
blue	Bradi2g48240.1
blue	Bradi2g48880.1
blue	Bradi2g49057.1
blue	Bradi2g49740.1
blue	Bradi2g49840.2
blue	Bradi2g49870.1
blue	Bradi2g49906.1
blue	Bradi2g49906.2
blue	Bradi2g50890.3
blue	Bradi2g50890.5
blue	Bradi2g50890.6
blue	Bradi2g50990.1
blue	Bradi2g50990.2
blue	Bradi2g51000.6
blue	Bradi2g51350.2
blue	Bradi2g52310.1
blue	Bradi2g52336.1
blue	Bradi2g52342.1
blue	Bradi2g52370.1
blue	Bradi2g52417.1
blue	Bradi2g52987.1
blue	Bradi2g53150.2
blue	Bradi2g53150.3
blue	Bradi2g53150.4
blue	Bradi2g53260.1
blue	Bradi2g53650.1
blue	Bradi2g53720.1
blue	Bradi2g53760.1
blue	Bradi2g54340.1
blue	Bradi2g54795.1
blue	Bradi2g55070.1
blue	Bradi2g55310.1
blue	Bradi2g55490.1
blue	Bradi2g55797.2
blue	Bradi2g55920.1
blue	Bradi2g56145.1
blue	Bradi2g56210.1
blue	Bradi2g56360.2
blue	Bradi2g57100.1
blue	Bradi2g57800.2
blue	Bradi2g58190.1
blue	Bradi2g58310.1
blue	Bradi2g58660.1
blue	Bradi2g58770.1
blue	Bradi2g59660.1
blue	Bradi2g59920.1
blue	Bradi2g60456.1
blue	Bradi2g60680.2
blue	Bradi2g61090.1
